article_image,check_key,thisN,thisTrialN,thisRepN,keyanswer.keys,keyanswer.corr,keyanswer.rt,keyanswer.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,beforeplaygame.started,imagefirst.started,keyskip2.started,beforeplaygame.stopped,keyskip2.keys,keyskip2.rt,keyskip2.duration,article.started,imagequestion.started,keyanswer.started,article.stopped,trials.keyanswer.keys,trials.keyanswer.corr,trials.keyanswer.rt,trials.keyanswer.duration,blank.started,imageblank.started,blank.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.009050900000147521,0.025160899967886508,0.025160899967886508,1.9959444999694824,space,1.9669392999494448,None,,,,,,,,,,,,375204,001,2025-05-06_23h01.47.032,article,2024.2.5,59.942515136872096,2025-05-06 23h01.50.859835 +0700,
image/number1.png,1,0,0,0,1,1,3.401718199951574,None,0,0,0,0,2.092838100041263,,,,,,,,,2.0719866000581533,2.092838100041263,2.092838100041263,5.495732699986547,1,1,3.401718199951574,None,5.495773200062104,5.512266500038095,6.496504100039601,375204,001,2025-05-06_23h01.47.032,article,2024.2.5,59.942515136872096,2025-05-06 23h01.50.859835 +0700,
image/number2.png,2,1,1,0,2,1,0.34952270006760955,None,0,1,1,1,6.533678299980238,,,,,,,,,6.518615499953739,6.533678299980238,6.533678299980238,6.8845712000038475,2,1,0.34952270006760955,None,6.884608600055799,6.900683899992146,7.884670100058429,375204,001,2025-05-06_23h01.47.032,article,2024.2.5,59.942515136872096,2025-05-06 23h01.50.859835 +0700,
image/number3.png,3,2,2,0,3,1,0.24711540003772825,None,0,2,2,2,7.921620700042695,,,,,,,,,7.9104392000008374,7.921620700042695,7.921620700042695,8.172827600035816,3,1,0.24711540003772825,None,8.17286960000638,8.189022200065665,9.173288600053638,375204,001,2025-05-06_23h01.47.032,article,2024.2.5,59.942515136872096,2025-05-06 23h01.50.859835 +0700,
image/number4.png,3,3,3,0,1,0,0.25119089998770505,None,0,3,3,3,9.210448099998757,,,,,,,,,9.200593100045808,9.210448099998757,9.210448099998757,9.477838200051337,1,0,0.25119089998770505,None,9.477879600017332,9.494015700067393,10.47829240001738,375204,001,2025-05-06_23h01.47.032,article,2024.2.5,59.942515136872096,2025-05-06 23h01.50.859835 +0700,
image/number5.png,1,4,4,0,2,0,0.2819358999840915,None,0,4,4,4,10.515474700019695,,,,,,,,,10.50442849996034,10.515474700019695,10.515474700019695,10.799600300029851,2,0,0.2819358999840915,None,10.799642199999653,10.815748600056395,11.799999400041997,375204,001,2025-05-06_23h01.47.032,article,2024.2.5,59.942515136872096,2025-05-06 23h01.50.859835 +0700,
image/number6.png,1,5,5,0,3,0,0.3515216000378132,None,0,5,5,5,11.837177900015377,,,,,,,,,11.825706999981776,11.837177900015377,11.837177900015377,12.204346799990162,3,0,0.3515216000378132,None,12.20438530005049,12.220399699988775,13.205153299961239,375204,001,2025-05-06_23h01.47.032,article,2024.2.5,59.942515136872096,2025-05-06 23h01.50.859835 +0700,
image/number7.png,3,6,6,0,1,0,0.47306380001828074,None,0,6,6,6,13.242290599970147,,,,,,,,,13.229974300018512,13.242290599970147,13.242290599970147,13.726625100011006,1,0,0.47306380001828074,None,13.72666200005915,13.742743100039661,14.727072400040925,375204,001,2025-05-06_23h01.47.032,article,2024.2.5,59.942515136872096,2025-05-06 23h01.50.859835 +0700,
image/number8.png,3,7,7,0,2,0,0.2182459000032395,None,0,7,7,7,14.76417500001844,,,,,,,,,14.752476800000295,14.76417500001844,14.76417500001844,14.998190099955536,2,0,0.2182459000032395,None,14.998229300021194,15.014397999970242,15.998678200063296,375204,001,2025-05-06_23h01.47.032,article,2024.2.5,59.942515136872096,2025-05-06 23h01.50.859835 +0700,
image/number9.png,4,8,8,0,3,0,0.27925539994612336,None,0,8,8,8,16.03582530003041,,,,,,,,,16.02058490004856,16.03582530003041,16.03582530003041,16.319531199987978,3,0,0.27925539994612336,None,16.31956860003993,16.336113700061105,17.320355499978177,375204,001,2025-05-06_23h01.47.032,article,2024.2.5,59.942515136872096,2025-05-06 23h01.50.859835 +0700,
image/number10.png,4,9,9,0,2,0,0.2400191999040544,None,0,9,9,9,17.357599399983883,,,,,,,,,17.34502790006809,17.357599399983883,17.357599399983883,17.608282000059262,2,0,0.2400191999040544,None,17.608320600003935,17.624450400006026,18.608693500049412,375204,001,2025-05-06_23h01.47.032,article,2024.2.5,59.942515136872096,2025-05-06 23h01.50.859835 +0700,
