article_image,thisN,thisTrialN,thisRepN,keyawnser.keys,keyawnser.rt,keyawnser.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,article.started,image.started,keyawnser.started,article.stopped,trials.keyawnser.keys,trials.keyawnser.rt,trials.keyawnser.duration,blank500.started,text.started,text.stopped,blank500.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
image/number1.png,0,0,0,1,0.7764446000001044,None,0,0,0,0,0.11704499999996187,,0.09637579999980517,0.11704499999996187,0.11704499999996187,0.9029618999993545,1,0.7764446000001044,None,0.9029971999998452,0.9172859000000244,1.4385238999993817,1.401583799999571,657444,001,2025-04-23_14h45.41.593,article,2024.2.5,59.34711056709377,2025-04-23 14h45.45.045752 +0700,
image/number2.png,1,1,0,2,0.38591969999924913,None,0,1,1,1,1.4385238999993817,,1.422857199999271,1.4385238999993817,1.4385238999993817,1.839441799999804,2,0.38591969999924913,None,1.8394812999995338,1.8555842999994638,2.3765677999999753,2.339667599999302,657444,001,2025-04-23_14h45.41.593,article,2024.2.5,59.34711056709377,2025-04-23 14h45.45.045752 +0700,
image/number3.png,2,2,0,3,0.2879794000000402,None,0,2,2,2,2.3765677999999753,,2.360720799999399,2.3765677999999753,2.3765677999999753,2.6773200999996334,3,0.2879794000000402,None,2.67735569999968,2.6935223999998925,3.214496699999472,3.1770930999991833,657444,001,2025-04-23_14h45.41.593,article,2024.2.5,59.34711056709377,2025-04-23 14h45.45.045752 +0700,
image/number4.png,3,3,0,4,0.3604520999997476,None,0,3,3,3,3.214496699999472,,3.198068599999715,3.214496699999472,3.214496699999472,3.582006999999976,4,0.3604520999997476,None,3.5820428999995784,3.5981882999994923,4.11916199999996,4.08216529999936,657444,001,2025-04-23_14h45.41.593,article,2024.2.5,59.34711056709377,2025-04-23 14h45.45.045752 +0700,
image/number5.png,4,4,0,1,1.3005763999999544,None,0,4,4,4,4.11916199999996,,4.104124299999967,4.11916199999996,4.11916199999996,5.420845599999666,1,1.3005763999999544,None,5.420880299999226,5.437031199999183,5.957562699999471,5.921003099999325,657444,001,2025-04-23_14h45.41.593,article,2024.2.5,59.34711056709377,2025-04-23 14h45.45.045752 +0700,
image/number6.png,5,5,0,2,1.0191135000004579,None,0,5,5,5,5.957562699999471,,5.946610699999837,5.957562699999471,5.957562699999471,6.992733899999621,2,1.0191135000004579,None,6.992769699999371,7.008936999999605,7.529922399999123,7.492927499999496,657444,001,2025-04-23_14h45.41.593,article,2024.2.5,59.34711056709377,2025-04-23 14h45.45.045752 +0700,
image/number7.png,6,6,0,3,1.2340610999999626,None,0,6,6,6,7.529922399999123,,7.516574099999161,7.529922399999123,7.529922399999123,8.764986299999691,3,1.2340610999999626,None,8.765023299999484,8.7810501999993,9.302052999999432,9.265011799999229,657444,001,2025-04-23_14h45.41.593,article,2024.2.5,59.34711056709377,2025-04-23 14h45.45.045752 +0700,
image/number8.png,7,7,0,2,0.8887716999997792,None,0,7,7,7,9.302052999999432,,9.285812899999655,9.302052999999432,9.302052999999432,10.20335619999969,2,0.8887716999997792,None,10.203392399999757,10.219543199999862,10.740512200000012,10.703510199999982,657444,001,2025-04-23_14h45.41.593,article,2024.2.5,59.34711056709377,2025-04-23 14h45.45.045752 +0700,
image/number9.png,8,8,0,4,0.5432581999994,None,0,8,8,8,10.740512200000012,,10.729049899999154,10.740512200000012,10.740512200000012,11.2913867999996,4,0.5432581999994,None,11.291422499999499,11.307695099999364,,11.79149999999936,657444,001,2025-04-23_14h45.41.593,article,2024.2.5,59.34711056709377,2025-04-23 14h45.45.045752 +0700,
image/number10.png,9,9,0,1,1.2781483999997363,None,0,9,9,9,11.828680299999178,,11.811772000000019,11.828680299999178,11.828680299999178,13.113616799999363,1,1.2781483999997363,None,13.113652799999727,13.129395599999953,,13.615363199999592,657444,001,2025-04-23_14h45.41.593,article,2024.2.5,59.34711056709377,2025-04-23 14h45.45.045752 +0700,
